id,sentence,class
188,"Delete pricing table in Section 2.1, ""Pricing,"" in its entirety and replace with the following: IBM P/N / NUMAQ P/N BROCADE P/N DESCRIPTION UNIT PRICE [*] [*] 8Port Fibre Channel [*] Switch Single Power Supply (SW2400) [*] whole unit switch Product [*] [*] 16 Port Fibre Channel [*] Switch Single Power Supply (SW2800) Includes [*] whole unit switch Product [*] [*] Silkworm 2000 Power [*] Supply [*] [*] Mainboard, SW 2400 [*] (8port) [*] [*] Fan Tray, SW 2400 [*] (8port) [*] [*] Chassis, SW 2400 [*] (8port) [*] [*] Mainboard, SW 2800 [*] (16port) [*] [*] Fan Tray, SW 2800 [*] (16port) [*] [*] Chassis, SW 2800 [*] (16port) with operator panel / LCD [*] [*] Quick Loop License [*] [*] [*] Fabric Watch License [*] [*] [*] Extended Fabrics [*] [*] [*] Extended Fabrics [*] "" **CERTAIN INFORMATION ON THIS PAGE HAS BEEN OMITTED AND FILED SEPARATELY WITH THE SECURITIES AND EXCHANGE COMMISSION.",0
189,"1.12 ""Specifications"" means those specifications for Licensed Product, Compound, or SEPRACOR Components as established in writing by SEPRACOR, and subject to approval by 3M, which approval shall not unreasonably be withheld or delayed, and as may be amended from time to time in writing by SEPRACOR, subject to approval by 3M, which approval shall not unreasonably be withheld or delayed.",1
190,Amendment of the Framework Agreement I. Para.,0
191,"1.10 ""SLA"" means the ""service level agreement"" document, which is a document created by Brocade and Hon Hai containing certain operational and financial terms agreed between the parties.",0
192,"MOPAC and Biopure have previously cooperated in the procurement for Biopure's use of a source of supply of bovine hemoglobin, i.e., blood (the &quot;Material&quot;) for the Product.",0
193,DAS shall pay Eon the amounts set forth in Exhibit II hereto for Product delivered by Eon pursuant to this Agreement.,1
194,The parties therefore agree as follows: Article 1 SALE AND PURCHASE 1.1 Supply of Cartridge.,1
195,"All such records shall be maintained for a period of not less than two years from the date of expiration of each Cartridge batch to which those records pertain, or such longer period as may be required by Law or cGMPs.",1
196,Contractor shall store and handle Product in the Anaheim Production Facility.,1
197,"If the Indemnifying Party so elects to assume the defense of a Third Party Claim, the Indemnifying Party will not be liable to the Indemnified Party for any legal expenses subsequently incurred by the Indemnified Party in connection with the defense of that Third Party Claim, except that if, under applicable standards of professional conduct, there exists a conflict on any significant issue between the Indemnified Party and the Indemnifying Party in connection with that Third Party Claim, the Indemnifying Party shall pay the reasonable fees and expenses of one additional counsel to act with respect to that issue to the extent necessary to resolve that conflict.",1
198,2.7 SHORTAGES.,0
199,These charges will be noted separately from the standard manufactured price and will be invoiced separately.,1
200,Confidential treatment has been requested with respect to the omitted portions.,0
201,Miscellaneous (a) Any term of this Letter Agreement may be amended or waived only with the written consent of the parties to this Letter Agreement.,1
202,2.5 QUANTITY; FORECASTS.,0
203,"Supplier grants to Customer a nonexclusive, nontransferable license to use the Software and related documentation provided hereunder.",1
204,"Article 3 ORDERS, SHIPMENT, AND PAYMENT 3.1 Price.",0
205,8.3.,0
206,"Contractor shall implement such changes in such specifications, manufacturing process and quality control standards and coding systems as Customer may from time to time request in writing provided that such changes do not alter Contractor's costs.",1
207,"1.2 ""AGREEMENT"" shall mean this Supply and Manufacturing Agreement, as amended from time to time.",1
208,4.05 B&amp;W hereby reserves a vendor's lien purchase money security interest in the Brands sold to Star to secure the payment of the purchase price of the Brands as provided for in this Agreement.,1
209,The incorporation by reference of the applicable functional performance Specifications; 3.,0
210,"FOURTH AMENDMENT TO MANUFACTURING AND SUPPLY AGREEMENT THIS FOURTH AMENDMENT (the ""Amendment"") is made and entered into as of January 10, 2005 (the ""Amendment Effective Date"") to the Manufacturing and Supply Agreement entered into as of August 6, 1997, as amended, by and between JPI PHARMACEUTICA INTERNATIONAL, a division of Cilag AG International Zug (""JPI""), JANSSEN PHARMACEUTICA INC. (""JANSSEN US"" and, together with JPI, ""JANSSEN""), on the one hand, and ALKERMES CONTROLLED THERAPEUTICS INC. II (""ACT II""), on the other hand (the ""Agreement"").",0
211,4.2 METHOD OF PAYMENT.,0
212,2.4 TABLET TOOLING.,0
213,"CLINICAL STUDIES AND TOXICOLOGY STUDIES 6.1 SEPRACOR shall [**] be responsible for any clinical studies and, except as provided in Sections 6.2 and 6.3 below, any toxicology studies and all contact with any Authority concerning Licensed Product, provided that 3M shall have the right to require SEPRACOR to use a right of reference or analogous means to meet any Authority's disclosure requirements concerning 3M Confidential Information to the extent permitted by the Authorities.",1
214,Nephros may revise in any subsequent Rolling Forecast the forecast for any other month in any Rolling Forecast.,1
215,"Any other provisions under the Framework remain unchanged as far as they are not (i) amended, or replaced by the aforementioned clauses or (ii) settled otherwise (e. g. expiry of time, performance).",1
216,"1.2 ""ANNUAL API CAP"" means *** *** *** *** 1.3 ""API"" means the active pharmaceutical ingredient known as ***.",0
